"bg","N","w1","prob","w2"
"done in",47,"done",2.01150753502163e-05,"in"
"done is",8,"done",3.42384261280277e-06,"is"
"done it",35,"done",1.49793114310121e-05,"it"
"done its",9,"done",3.85182293940312e-06,"its"
"done just",6,"done",2.56788195960208e-06,"just"
"done my",5,"done",2.13990163300173e-06,"my"
"done now",12,"done",5.13576391920416e-06,"now"
"done on",13,"done",5.56374424580451e-06,"on"
"done so",14,"done",5.99172457240486e-06,"so"
"done some",7,"done",2.99586228620243e-06,"some"
"done something",8,"done",3.42384261280277e-06,"something"
"done that",20,"done",8.55960653200694e-06,"that"
"done the",37,"done",1.58352720842128e-05,"the"
"done then",5,"done",2.13990163300173e-06,"then"
"done this",22,"done",9.41556718520763e-06,"this"
"done to",19,"done",8.13162620540659e-06,"to"
"done we",5,"done",2.13990163300173e-06,"we"
"done well",12,"done",5.13576391920416e-06,"well"
"done what",10,"done",4.27980326600347e-06,"what"
"done when",9,"done",3.85182293940312e-06,"when"
"done with",55,"done",2.35389179630191e-05,"with"
"done yet",5,"done",2.13990163300173e-06,"yet"
"doneven know",5,"doneven",2.13990163300173e-06,"know"
"donget me",7,"donget",2.99586228620243e-06,"me"
"donhave a",11,"donhave",4.70778359260381e-06,"a"
"donhave the",6,"donhave",2.56788195960208e-06,"the"
"donhave to",24,"donhave",1.02715278384083e-05,"to"
"donknow how",19,"donknow",8.13162620540659e-06,"how"
"donknow if",7,"donknow",2.99586228620243e-06,"if"
"donknow that",5,"donknow",2.13990163300173e-06,"that"
"donknow what",7,"donknow",2.99586228620243e-06,"what"
"donna summer",7,"donna",2.99586228620243e-06,"summer"
"donneed to",11,"donneed",4.70778359260381e-06,"to"
"dont actually",7,"dont",2.99586228620243e-06,"actually"
"dont agree",5,"dont",2.13990163300173e-06,"agree"
"dont always",9,"dont",3.85182293940312e-06,"always"
"dont answer",5,"dont",2.13990163300173e-06,"answer"
"dont ask",13,"dont",5.56374424580451e-06,"ask"
"dont be",63,"dont",2.69627605758219e-05,"be"
"dont believe",27,"dont",1.15554688182094e-05,"believe"
"dont blame",11,"dont",4.70778359260381e-06,"blame"
"dont break",5,"dont",2.13990163300173e-06,"break"
"dont buy",6,"dont",2.56788195960208e-06,"buy"
"dont call",9,"dont",3.85182293940312e-06,"call"
"dont care",74,"dont",3.16705441684257e-05,"care"
"dont change",6,"dont",2.56788195960208e-06,"change"
"dont come",8,"dont",3.42384261280277e-06,"come"
"dont consider",5,"dont",2.13990163300173e-06,"consider"
"dont cry",18,"dont",7.70364587880624e-06,"cry"
"dont deserve",6,"dont",2.56788195960208e-06,"deserve"
"dont do",53,"dont",2.26829573098184e-05,"do"
"dont drink",6,"dont",2.56788195960208e-06,"drink"
"dont eat",13,"dont",5.56374424580451e-06,"eat"
"dont even",72,"dont",3.0814583515225e-05,"even"
"dont ever",14,"dont",5.99172457240486e-06,"ever"
"dont exist",5,"dont",2.13990163300173e-06,"exist"
"dont expect",12,"dont",5.13576391920416e-06,"expect"
"dont feel",26,"dont",1.1127488491609e-05,"feel"
"dont follow",12,"dont",5.13576391920416e-06,"follow"
"dont forget",99,"dont",4.23700523334343e-05,"forget"
"dont fucking",5,"dont",2.13990163300173e-06,"fucking"
"dont get",125,"dont",5.34975408250434e-05,"get"
"dont give",29,"dont",1.24114294714101e-05,"give"
"dont go",26,"dont",1.1127488491609e-05,"go"
"dont hate",10,"dont",4.27980326600347e-06,"hate"
"dont have",286,"dont",0.000122402373407699,"have"
"dont hear",7,"dont",2.99586228620243e-06,"hear"
"dont hold",6,"dont",2.56788195960208e-06,"hold"
"dont i",16,"dont",6.84768522560555e-06,"i"
"dont judge",9,"dont",3.85182293940312e-06,"judge"
"dont just",14,"dont",5.99172457240486e-06,"just"
"dont know",344,"dont",0.000147225232350519,"know"
"dont leave",11,"dont",4.70778359260381e-06,"leave"
"dont let",46,"dont",1.9687095023616e-05,"let"
"dont like",106,"dont",4.53659146196368e-05,"like"
"dont listen",5,"dont",2.13990163300173e-06,"listen"
"dont live",6,"dont",2.56788195960208e-06,"live"
"dont look",10,"dont",4.27980326600347e-06,"look"
"dont love",9,"dont",3.85182293940312e-06,"love"
"dont make",30,"dont",1.28394097980104e-05,"make"
"dont mean",13,"dont",5.56374424580451e-06,"mean"
"dont mess",7,"dont",2.99586228620243e-06,"mess"
"dont mind",25,"dont",1.06995081650087e-05,"mind"
"dont miss",46,"dont",1.9687095023616e-05,"miss"
"dont need",50,"dont",2.13990163300173e-05,"need"
"dont pay",5,"dont",2.13990163300173e-06,"pay"
"dont play",15,"dont",6.4197048990052e-06,"play"
"dont put",6,"dont",2.56788195960208e-06,"put"
"dont read",10,"dont",4.27980326600347e-06,"read"
"dont really",31,"dont",1.32673901246108e-05,"really"
"dont remember",21,"dont",8.98758685860728e-06,"remember"
"dont say",19,"dont",8.13162620540659e-06,"say"
"dont see",61,"dont",2.61067999226212e-05,"see"
"dont seem",9,"dont",3.85182293940312e-06,"seem"
"dont sleep",6,"dont",2.56788195960208e-06,"sleep"
"dont start",5,"dont",2.13990163300173e-06,"start"
"dont stop",7,"dont",2.99586228620243e-06,"stop"
"dont take",21,"dont",8.98758685860728e-06,"take"
"dont talk",11,"dont",4.70778359260381e-06,"talk"
"dont tell",29,"dont",1.24114294714101e-05,"tell"
"dont text",6,"dont",2.56788195960208e-06,"text"
"dont they",7,"dont",2.99586228620243e-06,"they"
"dont think",165,"dont",7.06167538890572e-05,"think"
"dont trust",7,"dont",2.99586228620243e-06,"trust"
"dont try",13,"dont",5.56374424580451e-06,"try"
"dont understand",43,"dont",1.84031540438149e-05,"understand"
"dont use",14,"dont",5.99172457240486e-06,"use"
"dont usually",6,"dont",2.56788195960208e-06,"usually"
"dont wait",5,"dont",2.13990163300173e-06,"wait"
"dont wanna",39,"dont",1.66912327374135e-05,"wanna"
"dont want",199,"dont",8.5168084993469e-05,"want"
"dont waste",6,"dont",2.56788195960208e-06,"waste"
"dont watch",5,"dont",2.13990163300173e-06,"watch"
"dont we",9,"dont",3.85182293940312e-06,"we"
"dont wear",5,"dont",2.13990163300173e-06,"wear"
"dont work",17,"dont",7.2756655522059e-06,"work"
"dont worry",58,"dont",2.48228589428201e-05,"worry"
"dont you",66,"dont",2.82467015556229e-05,"you"
"donthink i",12,"donthink",5.13576391920416e-06,"i"
"donwant to",25,"donwant",1.06995081650087e-05,"to"
"doom and",5,"doom",2.13990163300173e-06,"and"
"door and",20,"door",8.55960653200694e-06,"and"
"door for",8,"door",3.42384261280277e-06,"for"
"door i",6,"door",2.56788195960208e-06,"i"
"door in",6,"door",2.56788195960208e-06,"in"
"door is",13,"door",5.56374424580451e-06,"is"
"door of",8,"door",3.42384261280277e-06,"of"
"door on",5,"door",2.13990163300173e-06,"on"
"door open",9,"door",3.85182293940312e-06,"open"
"door that",9,"door",3.85182293940312e-06,"that"
"door the",7,"door",2.99586228620243e-06,"the"
"door to",27,"door",1.15554688182094e-05,"to"
"doors and",13,"doors",5.56374424580451e-06,"and"
"doors at",6,"doors",2.56788195960208e-06,"at"
"doors for",5,"doors",2.13990163300173e-06,"for"
"doors open",14,"doors",5.99172457240486e-06,"open"
"doors to",5,"doors",2.13990163300173e-06,"to"
"dorm room",5,"dorm",2.13990163300173e-06,"room"
"dose of",19,"dose",8.13162620540659e-06,"of"
"doses of",7,"doses",2.99586228620243e-06,"of"
"dot com",9,"dot",3.85182293940312e-06,"com"
"dots and",6,"dots",2.56788195960208e-06,"and"
"dotted with",7,"dotted",2.99586228620243e-06,"with"
"double digit",8,"double",3.42384261280277e-06,"digit"
"double digits",5,"double",2.13990163300173e-06,"digits"
"double figures",6,"double",2.56788195960208e-06,"figures"
"double play",6,"double",2.56788195960208e-06,"play"
"double the",13,"double",5.56374424580451e-06,"the"
"doubled in",5,"doubled",2.13990163300173e-06,"in"
"doubt i",11,"doubt",4.70778359260381e-06,"i"
"doubt it",14,"doubt",5.99172457240486e-06,"it"
"doubt that",16,"doubt",6.84768522560555e-06,"that"
"doubt this",6,"doubt",2.56788195960208e-06,"this"
"doubts about",6,"doubts",2.56788195960208e-06,"about"
"dough and",5,"dough",2.13990163300173e-06,"and"
"dough in",5,"dough",2.13990163300173e-06,"in"
"dough into",5,"dough",2.13990163300173e-06,"into"
"dough is",5,"dough",2.13990163300173e-06,"is"
"dow jones",14,"dow",5.99172457240486e-06,"jones"
"down a",61,"down",2.61067999226212e-05,"a"
"down after",5,"down",2.13990163300173e-06,"after"
"down all",6,"down",2.56788195960208e-06,"all"
"down and",140,"down",5.99172457240486e-05,"and"
"down as",17,"down",7.2756655522059e-06,"as"
"down at",39,"down",1.66912327374135e-05,"at"
"down because",9,"down",3.85182293940312e-06,"because"
"down before",7,"down",2.99586228620243e-06,"before"
"down but",16,"down",6.84768522560555e-06,"but"
"down by",23,"down",9.84354751180798e-06,"by"
"down during",5,"down",2.13990163300173e-06,"during"
"down every",5,"down",2.13990163300173e-06,"every"
"down for",43,"down",1.84031540438149e-05,"for"
"down from",30,"down",1.28394097980104e-05,"from"
"down he",8,"down",3.42384261280277e-06,"he"
"down here",25,"down",1.06995081650087e-05,"here"
"down his",8,"down",3.42384261280277e-06,"his"
"down how",5,"down",2.13990163300173e-06,"how"
"down i",31,"down",1.32673901246108e-05,"i"
"down if",9,"down",3.85182293940312e-06,"if"
"down in",72,"down",3.0814583515225e-05,"in"
"down inside",5,"down",2.13990163300173e-06,"inside"
"down into",11,"down",4.70778359260381e-06,"into"
"down is",6,"down",2.56788195960208e-06,"is"
"down it",7,"down",2.99586228620243e-06,"it"
"down its",13,"down",5.56374424580451e-06,"its"
"down just",5,"down",2.13990163300173e-06,"just"
"down like",7,"down",2.99586228620243e-06,"like"
"down low",6,"down",2.56788195960208e-06,"low"
"down my",26,"down",1.1127488491609e-05,"my"
"down of",5,"down",2.13990163300173e-06,"of"
"down on",75,"down",3.2098524495026e-05,"on"
"down or",15,"down",6.4197048990052e-06,"or"
"down our",6,"down",2.56788195960208e-06,"our"
"down percent",12,"down",5.13576391920416e-06,"percent"
"down right",5,"down",2.13990163300173e-06,"right"
"down so",12,"down",5.13576391920416e-06,"so"
"down some",5,"down",2.13990163300173e-06,"some"
"down south",6,"down",2.56788195960208e-06,"south"
"down that",8,"down",3.42384261280277e-06,"that"
"down the",285,"down",0.000121974393081099,"the"
"down their",16,"down",6.84768522560555e-06,"their"
"down then",5,"down",2.13990163300173e-06,"then"
"down there",27,"down",1.15554688182094e-05,"there"
"down they",5,"down",2.13990163300173e-06,"they"
"down this",11,"down",4.70778359260381e-06,"this"
"down through",9,"down",3.85182293940312e-06,"through"
"down to",220,"down",9.41556718520763e-05,"to"
"down today",7,"down",2.99586228620243e-06,"today"
"down two",5,"down",2.13990163300173e-06,"two"
"down upon",5,"down",2.13990163300173e-06,"upon"
"down we",12,"down",5.13576391920416e-06,"we"
"down when",10,"down",4.27980326600347e-06,"when"
"down with",41,"down",1.75471933906142e-05,"with"
"down you",8,"down",3.42384261280277e-06,"you"
"down your",5,"down",2.13990163300173e-06,"your"
"downey jr",6,"downey",2.56788195960208e-06,"jr"
"download the",9,"download",3.85182293940312e-06,"the"
"downloaded the",5,"downloaded",2.13990163300173e-06,"the"
"downside of",5,"downside",2.13990163300173e-06,"of"
"downside to",6,"downside",2.56788195960208e-06,"to"
"downstairs and",5,"downstairs",2.13990163300173e-06,"and"
"downstairs to",6,"downstairs",2.56788195960208e-06,"to"
"downton abbey",5,"downton",2.13990163300173e-06,"abbey"
"downtown cleveland",6,"downtown",2.56788195960208e-06,"cleveland"
"downtown oakland",5,"downtown",2.13990163300173e-06,"oakland"
"dozens of",38,"dozens",1.62632524108132e-05,"of"
"dr ben",8,"dr",3.42384261280277e-06,"ben"
"dr david",6,"dr",2.56788195960208e-06,"david"
"dr dre",5,"dr",2.13990163300173e-06,"dre"
"dr i",6,"dr",2.56788195960208e-06,"i"
"dr square",6,"dr",2.56788195960208e-06,"square"
"draft and",13,"draft",5.56374424580451e-06,"and"
"draft beers",5,"draft",2.13990163300173e-06,"beers"
"draft day",5,"draft",2.13990163300173e-06,"day"
"draft he",5,"draft",2.13990163300173e-06,"he"
"draft in",5,"draft",2.13990163300173e-06,"in"
"draft is",7,"draft",2.99586228620243e-06,"is"
"draft of",8,"draft",3.42384261280277e-06,"of"
"draft pick",11,"draft",4.70778359260381e-06,"pick"
"draft picks",7,"draft",2.99586228620243e-06,"picks"
"draft the",6,"draft",2.56788195960208e-06,"the"
"drafted by",5,"drafted",2.13990163300173e-06,"by"
"dragon tattoo",6,"dragon",2.56788195960208e-06,"tattoo"
"drama and",6,"drama",2.56788195960208e-06,"and"
"drama in",5,"drama",2.13990163300173e-06,"in"
"dramatic and",5,"dramatic",2.13990163300173e-06,"and"
"drank a",6,"drank",2.56788195960208e-06,"a"
"draw a",9,"draw",3.85182293940312e-06,"a"
"draw something",9,"draw",3.85182293940312e-06,"something"
"draw the",10,"draw",4.27980326600347e-06,"the"
"draw your",5,"draw",2.13990163300173e-06,"your"
"drawing and",5,"drawing",2.13990163300173e-06,"and"
"drawing for",5,"drawing",2.13990163300173e-06,"for"
"drawing of",5,"drawing",2.13990163300173e-06,"of"
"drawing up",5,"drawing",2.13990163300173e-06,"up"
"drawn and",5,"drawn",2.13990163300173e-06,"and"
"drawn by",7,"drawn",2.99586228620243e-06,"by"
"drawn out",7,"drawn",2.99586228620243e-06,"out"
"drawn to",19,"drawn",8.13162620540659e-06,"to"
"dream about",10,"dream",4.27980326600347e-06,"about"
"dream and",10,"dream",4.27980326600347e-06,"and"
"dream come",18,"dream",7.70364587880624e-06,"come"
"dream i",10,"dream",4.27980326600347e-06,"i"
"dream in",7,"dream",2.99586228620243e-06,"in"
"dream job",7,"dream",2.99586228620243e-06,"job"
"dream last",7,"dream",2.99586228620243e-06,"last"
"dream of",20,"dream",8.55960653200694e-06,"of"
"dream team",5,"dream",2.13990163300173e-06,"team"
"dream that",13,"dream",5.56374424580451e-06,"that"
"dream the",8,"dream",3.42384261280277e-06,"the"
"dreamed of",9,"dreamed",3.85182293940312e-06,"of"
"dreaming about",6,"dreaming",2.56788195960208e-06,"about"
"dreaming of",8,"dreaming",3.42384261280277e-06,"of"
"dreams and",12,"dreams",5.13576391920416e-06,"and"
"dreams are",11,"dreams",4.70778359260381e-06,"are"
"dreams come",10,"dreams",4.27980326600347e-06,"come"
"dreams i",6,"dreams",2.56788195960208e-06,"i"
"dreams of",11,"dreams",4.70778359260381e-06,"of"
"dress and",9,"dress",3.85182293940312e-06,"and"
"dress code",13,"dress",5.56374424580451e-06,"code"
"dress i",6,"dress",2.56788195960208e-06,"i"
"dress is",5,"dress",2.13990163300173e-06,"is"
"dress like",5,"dress",2.13990163300173e-06,"like"
"dress that",6,"dress",2.56788195960208e-06,"that"
"dress up",14,"dress",5.99172457240486e-06,"up"
"dressed in",16,"dressed",6.84768522560555e-06,"in"
"dressed up",9,"dressed",3.85182293940312e-06,"up"
"dresses and",5,"dresses",2.13990163300173e-06,"and"
"dressing for",5,"dressing",2.13990163300173e-06,"for"
"dressing room",5,"dressing",2.13990163300173e-06,"room"
"drew a",9,"drew",3.85182293940312e-06,"a"
"dried up",5,"dried",2.13990163300173e-06,"up"
"drink a",10,"drink",4.27980326600347e-06,"a"
"drink and",23,"drink",9.84354751180798e-06,"and"
"drink at",7,"drink",2.99586228620243e-06,"at"
"drink for",7,"drink",2.99586228620243e-06,"for"
"drink i",10,"drink",4.27980326600347e-06,"i"
"drink in",8,"drink",3.42384261280277e-06,"in"
"drink it",6,"drink",2.56788195960208e-06,"it"
"drink of",11,"drink",4.70778359260381e-06,"of"
"drink or",8,"drink",3.42384261280277e-06,"or"
"drink plenty",6,"drink",2.56788195960208e-06,"plenty"
"drink some",5,"drink",2.13990163300173e-06,"some"
"drink specials",10,"drink",4.27980326600347e-06,"specials"
"drink the",12,"drink",5.13576391920416e-06,"the"
"drink this",5,"drink",2.13990163300173e-06,"this"
"drink to",10,"drink",4.27980326600347e-06,"to"
"drink with",6,"drink",2.56788195960208e-06,"with"
"drinking a",6,"drinking",2.56788195960208e-06,"a"
"drinking and",15,"drinking",6.4197048990052e-06,"and"
"drinking beer",7,"drinking",2.99586228620243e-06,"beer"
"drinking water",9,"drinking",3.85182293940312e-06,"water"
"drinks and",15,"drinks",6.4197048990052e-06,"and"
"drinks at",5,"drinks",2.13990163300173e-06,"at"
"drive a",5,"drive",2.13990163300173e-06,"a"
"drive and",15,"drive",6.4197048990052e-06,"and"
"drive by",5,"drive",2.13990163300173e-06,"by"
"drive down",5,"drive",2.13990163300173e-06,"down"
"drive for",9,"drive",3.85182293940312e-06,"for"
"drive from",6,"drive",2.56788195960208e-06,"from"
"drive home",8,"drive",3.42384261280277e-06,"home"
"drive i",9,"drive",3.85182293940312e-06,"i"
"drive in",21,"drive",8.98758685860728e-06,"in"
"drive me",5,"drive",2.13990163300173e-06,"me"
"drive on",8,"drive",3.42384261280277e-06,"on"
"drive out",7,"drive",2.99586228620243e-06,"out"
"drive the",19,"drive",8.13162620540659e-06,"the"
"drive through",10,"drive",4.27980326600347e-06,"through"
"drive to",36,"drive",1.54072917576125e-05,"to"
"drive up",7,"drive",2.99586228620243e-06,"up"
"drive with",6,"drive",2.56788195960208e-06,"with"
"driven by",20,"driven",8.55960653200694e-06,"by"
"driven in",6,"driven",2.56788195960208e-06,"in"
"driver and",8,"driver",3.42384261280277e-06,"and"
"driver i",5,"driver",2.13990163300173e-06,"i"
"driver of",7,"driver",2.99586228620243e-06,"of"
"driver to",5,"driver",2.13990163300173e-06,"to"
"drivers license",12,"drivers",5.13576391920416e-06,"license"
"drivers on",5,"drivers",2.13990163300173e-06,"on"
"drivers were",5,"drivers",2.13990163300173e-06,"were"
"drives me",5,"drives",2.13990163300173e-06,"me"
"driving a",13,"driving",5.56374424580451e-06,"a"
"driving and",9,"driving",3.85182293940312e-06,"and"
"driving around",9,"driving",3.85182293940312e-06,"around"
"driving force",8,"driving",3.42384261280277e-06,"force"
"driving i",7,"driving",2.99586228620243e-06,"i"
"driving in",11,"driving",4.70778359260381e-06,"in"
"driving me",10,"driving",4.27980326600347e-06,"me"
"driving on",8,"driving",3.42384261280277e-06,"on"
"driving the",12,"driving",5.13576391920416e-06,"the"
"driving through",9,"driving",3.85182293940312e-06,"through"
"driving to",15,"driving",6.4197048990052e-06,"to"
"driving while",5,"driving",2.13990163300173e-06,"while"
"drizzle the",6,"drizzle",2.56788195960208e-06,"the"
"drizzle with",5,"drizzle",2.13990163300173e-06,"with"
"drop a",7,"drop",2.99586228620243e-06,"a"
"drop and",6,"drop",2.56788195960208e-06,"and"
"drop by",12,"drop",5.13576391920416e-06,"by"
"drop in",29,"drop",1.24114294714101e-05,"in"
"drop of",10,"drop",4.27980326600347e-06,"of"
"drop off",15,"drop",6.4197048990052e-06,"off"
"drop out",8,"drop",3.42384261280277e-06,"out"
"drop the",16,"drop",6.84768522560555e-06,"the"
"dropped a",11,"dropped",4.70778359260381e-06,"a"
"dropped by",6,"dropped",2.56788195960208e-06,"by"
"dropped my",9,"dropped",3.85182293940312e-06,"my"
"dropped off",9,"dropped",3.85182293940312e-06,"off"
"dropped out",8,"dropped",3.42384261280277e-06,"out"
"dropped percent",5,"dropped",2.13990163300173e-06,"percent"
"dropped the",11,"dropped",4.70778359260381e-06,"the"
"dropped to",10,"dropped",4.27980326600347e-06,"to"
"dropping a",6,"dropping",2.56788195960208e-06,"a"
"dropping the",5,"dropping",2.13990163300173e-06,"the"
"drops of",6,"drops",2.56788195960208e-06,"of"
"drove a",7,"drove",2.99586228620243e-06,"a"
"drove in",7,"drove",2.99586228620243e-06,"in"
"drove me",5,"drove",2.13990163300173e-06,"me"
"drove the",8,"drove",3.42384261280277e-06,"the"
"drove to",7,"drove",2.99586228620243e-06,"to"
"drug addiction",5,"drug",2.13990163300173e-06,"addiction"
"drug administration",6,"drug",2.56788195960208e-06,"administration"
"drug possession",5,"drug",2.13990163300173e-06,"possession"
"drug to",7,"drug",2.99586228620243e-06,"to"
"drug use",5,"drug",2.13990163300173e-06,"use"
"drugs and",16,"drugs",6.84768522560555e-06,"and"
"drugs for",5,"drugs",2.13990163300173e-06,"for"
"drugs i",5,"drugs",2.13990163300173e-06,"i"
"drums and",5,"drums",2.13990163300173e-06,"and"
"drunk and",12,"drunk",5.13576391920416e-06,"and"
"drunk on",5,"drunk",2.13990163300173e-06,"on"
"drunken driving",5,"drunken",2.13990163300173e-06,"driving"
"dry and",10,"dry",4.27980326600347e-06,"and"
"dry in",6,"dry",2.56788195960208e-06,"in"
"dry milk",5,"dry",2.13990163300173e-06,"milk"
"dry up",5,"dry",2.13990163300173e-06,"up"
"dt members",5,"dt",2.13990163300173e-06,"members"
"du soleil",7,"du",2.99586228620243e-06,"soleil"
"duct tape",6,"duct",2.56788195960208e-06,"tape"
"dude from",5,"dude",2.13990163300173e-06,"from"
"dude i",29,"dude",1.24114294714101e-05,"i"
"dude on",5,"dude",2.13990163300173e-06,"on"
"dude that",5,"dude",2.13990163300173e-06,"that"
"dude you",5,"dude",2.13990163300173e-06,"you"
"due for",9,"due",3.85182293940312e-06,"for"
"due in",5,"due",2.13990163300173e-06,"in"
"due to",195,"due",8.34561636870676e-05,"to"
"duke university",7,"duke",2.99586228620243e-06,"university"
"dumb ass",9,"dumb",3.85182293940312e-06,"ass"
"dunkin donuts",5,"dunkin",2.13990163300173e-06,"donuts"
"during a",127,"during",5.4353501478244e-05,"a"
"during an",21,"during",8.98758685860728e-06,"an"
"during class",6,"during",2.56788195960208e-06,"class"
"during her",12,"during",5.13576391920416e-06,"her"
"during his",46,"during",1.9687095023616e-05,"his"
"during my",21,"during",8.98758685860728e-06,"my"
"during one",7,"during",2.99586228620243e-06,"one"
"during our",14,"during",5.99172457240486e-06,"our"
"during pregnancy",7,"during",2.99586228620243e-06,"pregnancy"
"during spring",5,"during",2.13990163300173e-06,"spring"
"during that",21,"during",8.98758685860728e-06,"that"
"during the",425,"during",0.000181891638805147,"the"
"during their",14,"during",5.99172457240486e-06,"their"
"during this",24,"during",1.02715278384083e-05,"this"
"during those",8,"during",3.42384261280277e-06,"those"
"during which",11,"during",4.70778359260381e-06,"which"
"during world",5,"during",2.13990163300173e-06,"world"
"during your",8,"during",3.42384261280277e-06,"your"
"dust and",6,"dust",2.56788195960208e-06,"and"
"duties and",7,"duties",2.99586228620243e-06,"and"
"duty in",5,"duty",2.13990163300173e-06,"in"
"duty to",11,"duty",4.70778359260381e-06,"to"
"dvd and",10,"dvd",4.27980326600347e-06,"and"
"dwell on",5,"dwell",2.13990163300173e-06,"on"
"dwight howard",8,"dwight",3.42384261280277e-06,"howard"
"dwyane wade",6,"dwyane",2.56788195960208e-06,"wade"
"dying for",5,"dying",2.13990163300173e-06,"for"
"dying to",9,"dying",3.85182293940312e-06,"to"
"each and",30,"each",1.28394097980104e-05,"and"
"each category",5,"each",2.13990163300173e-06,"category"
"each day",53,"each",2.26829573098184e-05,"day"
"each for",6,"each",2.56788195960208e-06,"for"
"each had",7,"each",2.99586228620243e-06,"had"
"each have",6,"each",2.56788195960208e-06,"have"
"each individual",9,"each",3.85182293940312e-06,"individual"
"each is",7,"each",2.99586228620243e-06,"is"
"each moment",6,"each",2.56788195960208e-06,"moment"
"each month",7,"each",2.99586228620243e-06,"month"
"each morning",5,"each",2.13990163300173e-06,"morning"
"each new",7,"each",2.99586228620243e-06,"new"
"each night",6,"each",2.56788195960208e-06,"night"
"each of",99,"each",4.23700523334343e-05,"of"
"each one",21,"each",8.98758685860728e-06,"one"
"each other",249,"each",0.000106567101323486,"other"
"each others",26,"each",1.1127488491609e-05,"others"
"each person",6,"each",2.56788195960208e-06,"person"
"each piece",6,"each",2.56788195960208e-06,"piece"
"each side",11,"each",4.70778359260381e-06,"side"
"each state",6,"each",2.56788195960208e-06,"state"
"each team",10,"each",4.27980326600347e-06,"team"
"each time",32,"each",1.36953704512111e-05,"time"
"each to",5,"each",2.13990163300173e-06,"to"
"each was",5,"each",2.13990163300173e-06,"was"
"each week",20,"each",8.55960653200694e-06,"week"
"each with",10,"each",4.27980326600347e-06,"with"
"each year",51,"each",2.18269966566177e-05,"year"
"eager to",22,"eager",9.41556718520763e-06,"to"
"ear and",6,"ear",2.56788195960208e-06,"and"
"ear to",7,"ear",2.99586228620243e-06,"to"
"earlier and",7,"earlier",2.99586228620243e-06,"and"
"earlier but",8,"earlier",3.42384261280277e-06,"but"
"earlier i",11,"earlier",4.70778359260381e-06,"i"
"earlier in",31,"earlier",1.32673901246108e-05,"in"
"earlier on",5,"earlier",2.13990163300173e-06,"on"
"earlier post",6,"earlier",2.56788195960208e-06,"post"
"earlier than",9,"earlier",3.85182293940312e-06,"than"
"earlier the",8,"earlier",3.42384261280277e-06,"the"
"earlier this",75,"earlier",3.2098524495026e-05,"this"
"earlier today",11,"earlier",4.70778359260381e-06,"today"
"early age",5,"early",2.13990163300173e-06,"age"
"early and",21,"early",8.98758685860728e-06,"and"
"early as",16,"early",6.84768522560555e-06,"as"
"early bird",7,"early",2.99586228620243e-06,"bird"
"early but",9,"early",3.85182293940312e-06,"but"
"early days",10,"early",4.27980326600347e-06,"days"
"early december",6,"early",2.56788195960208e-06,"december"
"early enough",5,"early",2.13990163300173e-06,"enough"
"early for",14,"early",5.99172457240486e-06,"for"
"early friday",6,"early",2.56788195960208e-06,"friday"
"early i",11,"early",4.70778359260381e-06,"i"
"early in",49,"early",2.0971036003417e-05,"in"
"early january",5,"early",2.13990163300173e-06,"january"
"early lead",6,"early",2.56788195960208e-06,"lead"
"early march",5,"early",2.13990163300173e-06,"march"
"early morning",23,"early",9.84354751180798e-06,"morning"
"early next",6,"early",2.56788195960208e-06,"next"
"early on",31,"early",1.32673901246108e-05,"on"
"early s",14,"early",5.99172457240486e-06,"s"
"early season",5,"early",2.13990163300173e-06,"season"
"early so",6,"early",2.56788195960208e-06,"so"
"early spring",7,"early",2.99586228620243e-06,"spring"
"early sunday",8,"early",3.42384261280277e-06,"sunday"
"early th",11,"early",4.70778359260381e-06,"th"
"early the",7,"early",2.99586228620243e-06,"the"
"early this",21,"early",8.98758685860728e-06,"this"
"early to",38,"early",1.62632524108132e-05,"to"
"early today",7,"early",2.99586228620243e-06,"today"
"early voting",7,"early",2.99586228620243e-06,"voting"
"early wednesday",5,"early",2.13990163300173e-06,"wednesday"
"early with",5,"early",2.13990163300173e-06,"with"
"earn a",5,"earn",2.13990163300173e-06,"a"
"earn advertising",8,"earn",3.42384261280277e-06,"advertising"
"earned a",8,"earned",3.42384261280277e-06,"a"
"earned his",8,"earned",3.42384261280277e-06,"his"
"earned runs",6,"earned",2.56788195960208e-06,"runs"
"earned the",10,"earned",4.27980326600347e-06,"the"
"earning a",7,"earning",2.99586228620243e-06,"a"
"earnings and",5,"earnings",2.13990163300173e-06,"and"
"earnings of",5,"earnings",2.13990163300173e-06,"of"
"ears and",8,"ears",3.42384261280277e-06,"and"
"ears are",5,"ears",2.13990163300173e-06,"are"
"ears that",5,"ears",2.13990163300173e-06,"that"
"earth and",13,"earth",5.56374424580451e-06,"and"
"earth day",25,"earth",1.06995081650087e-05,"day"
"earth he",5,"earth",2.13990163300173e-06,"he"
"earth i",7,"earth",2.99586228620243e-06,"i"
"earth is",12,"earth",5.13576391920416e-06,"is"
"earth the",7,"earth",2.99586228620243e-06,"the"
"earth to",6,"earth",2.56788195960208e-06,"to"
"earth will",5,"earth",2.13990163300173e-06,"will"
"earthquake and",7,"earthquake",2.99586228620243e-06,"and"
"ease the",8,"ease",3.42384261280277e-06,"the"
"easier and",6,"easier",2.56788195960208e-06,"and"
"easier for",30,"easier",1.28394097980104e-05,"for"
"easier i",7,"easier",2.99586228620243e-06,"i"
