"bg","N","w1","prob","w2"
"a broken",24,"a",1.02715278384083e-05,"broken"
"a brother",11,"a",4.70778359260381e-06,"brother"
"a brown",12,"a",5.13576391920416e-06,"brown"
"a brutal",6,"a",2.56788195960208e-06,"brutal"
"a buck",5,"a",2.13990163300173e-06,"buck"
"a bucket",7,"a",2.99586228620243e-06,"bucket"
"a bud",5,"a",2.13990163300173e-06,"bud"
"a budget",22,"a",9.41556718520763e-06,"budget"
"a bug",9,"a",3.85182293940312e-06,"bug"
"a building",19,"a",8.13162620540659e-06,"building"
"a built",6,"a",2.56788195960208e-06,"built"
"a bull",6,"a",2.56788195960208e-06,"bull"
"a bullet",13,"a",5.56374424580451e-06,"bullet"
"a bunch",84,"a",3.59503474344291e-05,"bunch"
"a bundle",5,"a",2.13990163300173e-06,"bundle"
"a burden",7,"a",2.99586228620243e-06,"burden"
"a burger",8,"a",3.42384261280277e-06,"burger"
"a burning",6,"a",2.56788195960208e-06,"burning"
"a bus",14,"a",5.99172457240486e-06,"bus"
"a business",61,"a",2.61067999226212e-05,"business"
"a busy",48,"a",2.05430556768166e-05,"busy"
"a but",6,"a",2.56788195960208e-06,"but"
"a button",14,"a",5.99172457240486e-06,"button"
"a buyer",6,"a",2.56788195960208e-06,"buyer"
"a by",8,"a",3.42384261280277e-06,"by"
"a cab",10,"a",4.27980326600347e-06,"cab"
"a cafe",6,"a",2.56788195960208e-06,"cafe"
"a cake",9,"a",3.85182293940312e-06,"cake"
"a calendar",5,"a",2.13990163300173e-06,"calendar"
"a california",7,"a",2.99586228620243e-06,"california"
"a call",56,"a",2.39668982896194e-05,"call"
"a camel",5,"a",2.13990163300173e-06,"camel"
"a camera",12,"a",5.13576391920416e-06,"camera"
"a camp",6,"a",2.56788195960208e-06,"camp"
"a campaign",23,"a",9.84354751180798e-06,"campaign"
"a campus",6,"a",2.56788195960208e-06,"campus"
"a can",13,"a",5.56374424580451e-06,"can"
"a canadian",5,"a",2.13990163300173e-06,"canadian"
"a cancer",11,"a",4.70778359260381e-06,"cancer"
"a candidate",14,"a",5.99172457240486e-06,"candidate"
"a candle",6,"a",2.56788195960208e-06,"candle"
"a cappella",7,"a",2.99586228620243e-06,"cappella"
"a car",82,"a",3.50943867812284e-05,"car"
"a card",24,"a",1.02715278384083e-05,"card"
"a career",50,"a",2.13990163300173e-05,"career"
"a case",54,"a",2.31109376364187e-05,"case"
"a cash",5,"a",2.13990163300173e-06,"cash"
"a cast",8,"a",3.42384261280277e-06,"cast"
"a casual",5,"a",2.13990163300173e-06,"casual"
"a cat",20,"a",8.55960653200694e-06,"cat"
"a catalyst",6,"a",2.56788195960208e-06,"catalyst"
"a catch",6,"a",2.56788195960208e-06,"catch"
"a catholic",6,"a",2.56788195960208e-06,"catholic"
"a cause",9,"a",3.85182293940312e-06,"cause"
"a cd",8,"a",3.42384261280277e-06,"cd"
"a celebration",16,"a",6.84768522560555e-06,"celebration"
"a celebrity",8,"a",3.42384261280277e-06,"celebrity"
"a cell",8,"a",3.42384261280277e-06,"cell"
"a center",8,"a",3.42384261280277e-06,"center"
"a central",5,"a",2.13990163300173e-06,"central"
"a century",9,"a",3.85182293940312e-06,"century"
"a ceremony",6,"a",2.56788195960208e-06,"ceremony"
"a certain",92,"a",3.93741900472319e-05,"certain"
"a certified",9,"a",3.85182293940312e-06,"certified"
"a chain",5,"a",2.13990163300173e-06,"chain"
"a chair",17,"a",7.2756655522059e-06,"chair"
"a challenge",33,"a",1.41233507778114e-05,"challenge"
"a champ",8,"a",3.42384261280277e-06,"champ"
"a champion",8,"a",3.42384261280277e-06,"champion"
"a championship",14,"a",5.99172457240486e-06,"championship"
"a chance",177,"a",7.57525178082614e-05,"chance"
"a change",37,"a",1.58352720842128e-05,"change"
"a character",15,"a",6.4197048990052e-06,"character"
"a charge",15,"a",6.4197048990052e-06,"charge"
"a charity",5,"a",2.13990163300173e-06,"charity"
"a chat",7,"a",2.99586228620243e-06,"chat"
"a cheap",10,"a",4.27980326600347e-06,"cheap"
"a cheaper",5,"a",2.13990163300173e-06,"cheaper"
"a check",16,"a",6.84768522560555e-06,"check"
"a cheese",8,"a",3.42384261280277e-06,"cheese"
"a chef",5,"a",2.13990163300173e-06,"chef"
"a chick",5,"a",2.13990163300173e-06,"chick"
"a chicken",18,"a",7.70364587880624e-06,"chicken"
"a child",101,"a",4.3226012986635e-05,"child"
"a childrens",6,"a",2.56788195960208e-06,"childrens"
"a childs",7,"a",2.99586228620243e-06,"childs"
"a chinese",9,"a",3.85182293940312e-06,"chinese"
"a chocolate",7,"a",2.99586228620243e-06,"chocolate"
"a choice",24,"a",1.02715278384083e-05,"choice"
"a christian",33,"a",1.41233507778114e-05,"christian"
"a christmas",27,"a",1.15554688182094e-05,"christmas"
"a chuckle",5,"a",2.13990163300173e-06,"chuckle"
"a chunk",8,"a",3.42384261280277e-06,"chunk"
"a church",13,"a",5.56374424580451e-06,"church"
